Municipality,Area (m2),Slight Damage (m2),Moderate Damage (m2),Extensive Damage (m2),Complete Damage (m2),Complete Collapse (m2)
Angono,22071349.33,234789,377051,313024,426421,57443
Antipolo,156685484.6,1504551,2293390,1919395,2814156,358508
Cainta,14408181.87,610464,1226907,1450371,2290627,317201
Caloocan,53201841.33,3479806,5232422,4087406,5072855,625656
Manila,42882802.65,4010957,8103927,9825526,11969904,1385187
Las Pinas,32020293.07,1898996,3036596,2420619,2990543,405359
Makati,21731876.5,2239323,4291520,4261247,6223243,638784
Malabon,15963229.44,1012122,1670251,1477221,1960091,227640
Mandaluyong,11067798.07,1199782,2063208,1912450,2249883,253941
Marikina,22646525.8,1214505,2396756,2707179,4003510,548329
Muntinlupa,41676056.26,1736660,3020253,2877665,3845083,476436
Navotas,11518068.53,394736,707097,709673,1016382,117412
Paranaque,47289914.56,2897909,4893277,4307947,5149340,681479
Pasay,18645495.82,1096852,2129076,2479783,3062884,368315
Pasig,31464094.8,2213476,4156819,4708861,6922002,856014
Pateros,1764232.94,83141,167761,222650,472378,58103
Quezon,165330828.8,11049945,17663877,14187637,15414694,1997221
Rodriguez,111327167.1,527945,951000,950853,1417909,200048
San Juan,5879833.98,699746,1156132,951902,920029,114219
San Mateo,55819846,478758,910088,989324,1535712,217693
Taguig,45183557.79,2014723,3373491,3300500,4594379,532398
Taytay,28326798.61,883461,1466373,1356222,2104007,259143
Valenzuela,45751215.96,3321678,4786840,3073094,2633301,356300
SUM,,"44,804,325","76,074,112","70,490,549","89,089,333","11,052,829"
