Municipality,Slight Injuries,Serious Injuries,Life threatening Injuries,Fatalities
Angono,2303,659,64,179
Antipolo,25665,7427,910,2030
Cainta,13040,4044,536,1239
Caloocan,41243,11567,1295,3114
Las Pinas,62895,18845,2775,5449
Makati,19231,5582,616,1491
Malabon,15458,4670,609,1427
Mandaluyong,10325,3046,403,874
Manila,10271,3001,392,817
Marikina,18129,5511,657,1617
Muntinlupa,16259,4677,514,1206
Navotas,9344,2733,354,740
Paranaque,18616,5396,496,1385
Pasay,12977,3641,565,1117
Pasig,25649,7908,1135,2387
Pateros,2747,834,117,239
Quezon,73549,20871,2232,5524
Rodriguez,6911,1882,229,553
San Juan,3667,1046,105,306
San Mateo,9760,2878,369,828
Taguig,29529,8700,1018,2366
Taytay,12648,3646,411,997
Valenzuela,15656,4398,468,1169
SUM,"455,872","132,962","16,270","37,054"
